0,572342978255048705,racism,So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR
1,572341498827522049,racism,Drasko they didn't cook half a bird you idiot #mkr
2,572340476503724032,racism,Hopefully someone cooks Drasko in the next ep of #MKR
3,572334712804384768,racism,of course you were born in serbia...you're as fucked as A Serbian Film #MKR
4,572332655397629952,racism,"These girls are the equivalent of the irritating Asian girls a couple years ago. Well done, 7. #MKR"
3771,571370337096622080,sexism,"@PelorsHope OK, you win that one.  Go tell your cousin's friend to fork it over..."
3772,571396272864698369,sexism,"RT @asredasmyhair: Fems, for the love of God, please stop propagating the wage gap myth. #FemFreeFriday http://t.co/DQ7LsadWtH"
3774,571442258681192448,sexism,I'll believe #feminism wants #equality when they start demanding death for #JodiArias but...I won't hold my breath... http://t.co/B108OAG7DO
3776,571461934387765249,sexism,RT @ducesettutamen: @JustLaurenB @MT8_9 Pretty much this. http://t.co/5DlDx5HCtq
3777,571473099817820160,sexism,RT @TheMercedesXXX: Word. #GamerGate http://t.co/6wPJPWTEQN
3778,571499576152231936,sexism,RT @fruitondabottom: @MT8_9 Didn't you hear about the abhorrent display of sexism on The Good Wife?! Tragic! http://t.co/eyWCr7woaF
3779,571504864179699712,sexism,RT @radleybalko: Univ. of Colorado disciplined a student for sexual assault even though his accuser admitted she had lied. http://t.co/uhTv…
3780,571665536955879424,sexism,@kain_larsen @gigagiga333 Nope.
3782,571728085176852480,sexism,@PMForeheadSp You were right...just about the wrong person...Valenti's a feminist.
3783,571737860073603072,sexism,RT @JohnathanMulroo: @GoldenBeverley @Transic_nyc @MT8_9 nor stuff like this: http://t.co/TTmc120Gr1
3785,571776873060958208,sexism,"""They drafted a reliever w/ the 4th overall pick? Over a switch hitting catcher w/ power? Death to America!"" #Pirates http://t.co/uCMkpTqw5r"
3786,571785683255181313,sexism,@susanhaggard1 @sara771987 Does she have a legal obligation to report?  I don't think she does...
3787,571787343687917568,sexism,"@susanhaggard1 @sara771987 Telling him to get back in the truck might be a crime, but...along the lines of conspiracy or inciting a riot."
3788,571788160847368192,sexism,@pondereroftruth @sara771987 Perhaps.
3789,571845428557312000,sexism,@MGTOWKnight @FactsVsOpinion ...cue the NAFALT in 3..2...1...
3792,571897828253048833,sexism,"""@nethercott_eden: Why is #WomenAgainstFeminism a thing? learn what something means before you are against it"" Et tu? http://t.co/Evsre0f1Rd"
3793,572010494107598849,sexism,RT @Pro_Equality_: @anotherfallow my uncle was shot 5 times and died because he kept denying his female stalker.  Stop acting like males li…
3795,572020834451116032,sexism,RT @perydwyn: @MT8_9 @FactsVsOpinion @VettedVixen Saying that anti feminist is being anti women is like saying being anti KKK is being anti…
3796,572057907229011968,sexism,.@MSharkess @CriticalKelly @MensHumanRights @robinashe @RampaigerA79 @Mislu_Kravin ...I was waiting for her answer to use that exact line.
3797,572059829726007297,sexism,"@MSharkess @CriticalKelly @MensHumanRights @robinashe @RampaigerA79 @Mislu_Kravin No problem, she deflected anyway..."
3800,572145335302164480,sexism,"@kittoms Social Justice Warrior AKA the liberals/feminists who are so ""tolerant"" they tolerate nothing &amp; want to impose their views on world"
3802,572204238639636481,sexism,@moderncomments Liberals suddenly consider ISIS a threat.
3803,572364571891134464,sexism,@g56yu @PoliticalCynic To what end?  It's a beta cuck in a college rag...
3804,572369548919353344,sexism,"The one thing that could actually end the ""harassment"" of #GamerGate... http://t.co/RuMt3nVPXS"
